Particulars,Premium_Current_Month,Premium_Current_YTD,Premium_Previous_Month,Premium_Previous_YTD,Premium_YTD_Variation_Percent,Policies_Current_Month,Policies_Current_YTD,Policies_Previous_Month,Policies_Previous_YTD,Policies_YTD_Variation_Percent,Source_File,Date,Company,Company_Type,Premium_Variation_Zero_Base,Policy_Variation_Zero_Base
Group Single Premium,8630.76,92677.46,5943.63,77969.3,18.86,37,308,37,937,-67.13,21jan.xls,2021-01-01,LIFE INSURANCE CORPORATION OF INDIA,Public,0,0
Group Non Single Premium,55.84,5072.05,415.94,26647.22,-80.97,715,5478,290,2230,145.65,21jan.xls,2021-01-01,LIFE INSURANCE CORPORATION OF INDIA,Public,0,0
Group Yearly Renewable Premium,45.14,484.84,53.74,578.49,-16.19,2159,18219,2419,21497,-15.25,21jan.xls,2021-01-01,LIFE INSURANCE CORPORATION OF INDIA,Public,0,0
Total,13143.64,143148.07,13470.91,150505.82,-4.89,2537748,14091815,4045841,19610299,-28.14,21jan.xls,2021-01-01,LIFE INSURANCE CORPORATION OF INDIA,Public,0,0
GRAND TOTAL,21389.7,212436.09,20623.01,214953.99,-1.17,3187364,19492865,4691297,25267209,-22.85,21jan.xls,2021-01-01,LIFE INSURANCE CORPORATION OF INDIA,Public,0,0
Individual Single Premium,14.75,121.73,7.16,100.07,21.65,183,1770,146,2741,-35.43,21feb.xls,2021-02-01,ADITYA BIRLA SUN LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,164.07,1583.69,145.32,1479.32,7.06,20474,219101,21976,230854,-5.09,21feb.xls,2021-02-01,ADITYA BIRLA SUN LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,173.88,2019.54,251.58,1519.72,32.89,7,55,9,88,-37.5,21feb.xls,2021-02-01,ADITYA BIRLA SUN LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,0.47,58.53,0.76,4.87,1101.83,0,1,0,2,-50.0,21feb.xls,2021-02-01,ADITYA BIRLA SUN LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,7.19,67.67,7.84,72.23,-6.32,9,419,35,529,-20.79,21feb.xls,2021-02-01,ADITYA BIRLA SUN LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,360.37,3851.17,412.66,3176.21,21.25,20673,221346,22166,234214,-5.49,21feb.xls,2021-02-01,ADITYA BIRLA SUN LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,22.13,211.17,12.68,120.03,75.93,523,5508,425,4086,34.8,21feb.xls,2021-02-01,AGEAS FEDERAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,32.7,215.6,20.75,242.29,-11.01,4180,29876,3076,39273,-23.93,21feb.xls,2021-02-01,AGEAS FEDERAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,17.75,104.03,12.75,126.89,-18.01,0,0,0,2,-100.0,21feb.xls,2021-02-01,AGEAS FEDERAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,0.0,0.05,0.0,0.33,-85.58,0,5,0,0,0.0,21feb.xls,2021-02-01,AGEAS FEDERAL LIFE INSURANCE COMPANY LIMITED,Private,0,1
Group Yearly Renewable Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,21feb.xls,2021-02-01,AGEAS FEDERAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,72.58,530.85,46.19,489.54,8.44,4703,35389,3501,43361,-18.39,21feb.xls,2021-02-01,AGEAS FEDERAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,1.36,10.94,0.93,8.25,32.66,156,454,258,733,-38.06,21feb.xls,2021-02-01,AVIVA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,23.26,115.0,12.91,102.46,12.23,2819,17069,1958,17800,-4.11,21feb.xls,2021-02-01,AVIVA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,1.23,2.21,0.3,2.55,-13.22,0,0,0,1,-100.0,21feb.xls,2021-02-01,AVIVA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,0.28,1.34,0.08,1.21,10.76,0,0,0,0,0.0,21feb.xls,2021-02-01,AVIVA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,3.13,49.23,4.12,87.6,-43.8,8,122,6,35,248.57,21feb.xls,2021-02-01,AVIVA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,29.27,178.72,18.34,202.07,-11.55,2983,17645,2222,18569,-4.98,21feb.xls,2021-02-01,AVIVA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,127.22,1275.66,105.45,974.77,30.87,471,4809,213,1741,176.22,21feb.xls,2021-02-01,AXIS MAX LIFE INSURANCE LIMITED,Private,0,0
Individual Non Single Premium,535.91,3881.82,404.68,3430.0,13.17,58773,541814,55812,521472,3.9,21feb.xls,2021-02-01,AXIS MAX LIFE INSURANCE LIMITED,Private,0,0
Group Single Premium,67.5,382.27,33.53,293.38,30.3,0,17,8,107,-84.11,21feb.xls,2021-02-01,AXIS MAX LIFE INSURANCE LIMITED,Private,0,0
Group Non Single Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,21feb.xls,2021-02-01,AXIS MAX LIFE INSURANCE LIMITED,Private,0,0
Group Yearly Renewable Premium,1.17,73.94,16.2,110.02,-32.79,-2,391,83,818,-52.2,21feb.xls,2021-02-01,AXIS MAX LIFE INSURANCE LIMITED,Private,0,0
Total,731.8,5613.69,559.85,4808.17,16.75,59242,547031,56116,524138,4.37,21feb.xls,2021-02-01,AXIS MAX LIFE INSURANCE LIMITED,Private,0,0
Individual Single Premium,7.07,45.07,6.3,72.31,-37.67,123,869,45,440,97.5,21feb.xls,2021-02-01,BAJAJ LIFE INSURANCE LIMITED,Private,0,0
Individual Non Single Premium,267.24,1983.33,186.45,1684.3,17.75,39374,364438,31481,275422,32.32,21feb.xls,2021-02-01,BAJAJ LIFE INSURANCE LIMITED,Private,0,0
Group Single Premium,405.37,2825.36,254.64,2672.27,5.73,1,55,0,47,17.02,21feb.xls,2021-02-01,BAJAJ LIFE INSURANCE LIMITED,Private,0,0
Group Non Single Premium,0.0,0.0,0.0,0.0,-8.1,0,0,0,0,0.0,21feb.xls,2021-02-01,BAJAJ LIFE INSURANCE LIMITED,Private,0,0
Group Yearly Renewable Premium,13.19,167.51,13.73,164.48,1.84,25,130,1,36,261.11,21feb.xls,2021-02-01,BAJAJ LIFE INSURANCE LIMITED,Private,0,0
Total,692.86,5021.27,461.12,4593.36,9.32,39523,365492,31527,275945,32.45,21feb.xls,2021-02-01,BAJAJ LIFE INSURANCE LIMITED,Private,0,0
Individual Single Premium,0.05,0.57,0.06,2.35,-75.6,3,25,2,15036,-99.83,21feb.xls,2021-02-01,BANDHAN LIFE INSURANCE LIMITED (FORMERLY AEGON LIFE INSURANCE COMPANY LIMITED),Private,0,0
Individual Non Single Premium,1.21,32.79,5.87,64.08,-48.83,794,13486,1575,20597,-34.52,21feb.xls,2021-02-01,BANDHAN LIFE INSURANCE LIMITED (FORMERLY AEGON LIFE INSURANCE COMPANY LIMITED),Private,0,0
Group Single Premium,0.0,5.23,0.0,1.08,383.71,0,0,0,0,0.0,21feb.xls,2021-02-01,BANDHAN LIFE INSURANCE LIMITED (FORMERLY AEGON LIFE INSURANCE COMPANY LIMITED),Private,0,0
Group Non Single Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,21feb.xls,2021-02-01,BANDHAN LIFE INSURANCE LIMITED (FORMERLY AEGON LIFE INSURANCE COMPANY LIMITED),Private,0,0
Group Yearly Renewable Premium,1.58,20.04,1.01,14.49,38.26,10,85,6,99,-14.14,21feb.xls,2021-02-01,BANDHAN LIFE INSURANCE LIMITED (FORMERLY AEGON LIFE INSURANCE COMPANY LIMITED),Private,0,0
Total,2.85,58.63,6.94,82.0,-28.5,807,13596,1583,35732,-61.95,21feb.xls,2021-02-01,BANDHAN LIFE INSURANCE LIMITED (FORMERLY AEGON LIFE INSURANCE COMPANY LIMITED),Private,0,0
Individual Single Premium,2.94,80.27,2.76,36.92,117.41,45,2813,2006,7272,-61.32,21feb.xls,2021-02-01,BHARTI AXA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,55.89,455.45,51.94,533.82,-14.68,10103,93306,12137,185382,-49.67,21feb.xls,2021-02-01,BHARTI AXA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,17.24,113.62,13.53,180.0,-36.88,4,15,4,13,15.38,21feb.xls,2021-02-01,BHARTI AXA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,21feb.xls,2021-02-01,BHARTI AXA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,0.14,2.63,0.0,0.0,0.0,0,3,0,0,0.0,21feb.xls,2021-02-01,BHARTI AXA LIFE INSURANCE COMPANY LIMITED,Private,1,1
Total,76.21,651.98,68.23,750.73,-13.15,10152,96137,14147,192667,-50.1,21feb.xls,2021-02-01,BHARTI AXA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,23.67,386.46,25.42,83.83,361.0,198,3330,93,473,604.02,21feb.xls,2021-02-01,CANARA HSBC LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,132.08,772.55,86.58,869.08,-11.11,17970,148101,13017,135760,9.09,21feb.xls,2021-02-01,CANARA HSBC LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,28.17,628.01,7.06,334.31,87.86,2,11,0,10,10.0,21feb.xls,2021-02-01,CANARA HSBC LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,0.45,3.28,0.46,6.38,-48.67,0,2,0,3,-33.33,21feb.xls,2021-02-01,CANARA HSBC LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,2.61,140.39,0.58,84.94,65.28,9,67,1,8,737.5,21feb.xls,2021-02-01,CANARA HSBC LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,186.99,1930.69,120.1,1378.53,40.05,18179,151511,13111,136254,11.2,21feb.xls,2021-02-01,CANARA HSBC LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,0.2,5.87,1.33,8.64,-32.1,1979,4387,1196,3469,26.46,21feb.xls,2021-02-01,EDELWEISS LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,41.13,322.39,37.38,290.43,11.01,6643,63694,8494,69106,-7.83,21feb.xls,2021-02-01,EDELWEISS LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,2.07,12.47,2.68,18.34,-32.0,0,0,0,4,-100.0,21feb.xls,2021-02-01,EDELWEISS LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,0.15,2.86,0.1,6.03,-52.62,0,0,0,2,-100.0,21feb.xls,2021-02-01,EDELWEISS LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,0.05,4.72,1.73,10.66,-55.71,1,29,2,44,-34.09,21feb.xls,2021-02-01,EDELWEISS LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,43.6,348.31,43.21,334.09,4.26,8623,68110,9692,72625,-6.22,21feb.xls,2021-02-01,EDELWEISS LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,10.25,76.76,2.77,103.19,-25.62,148,1098,69,2166,-49.31,21feb.xls,2021-02-01,EXIDE LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,59.5,459.59,66.85,585.89,-21.56,12917,123952,16464,170956,-27.49,21feb.xls,2021-02-01,EXIDE LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,0.08,0.59,0.05,0.42,40.39,0,0,0,0,0.0,21feb.xls,2021-02-01,EXIDE LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,3.3,17.17,18.34,26.05,-34.08,1,22,7,40,-45.0,21feb.xls,2021-02-01,EXIDE LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,9.54,53.58,6.77,67.96,-21.16,0,0,0,0,0.0,21feb.xls,2021-02-01,EXIDE LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,82.66,607.7,94.78,783.51,-22.44,13066,125072,16540,173162,-27.77,21feb.xls,2021-02-01,EXIDE LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,0.28,2.64,0.26,4.8,-44.88,18,130,27,302,-56.95,21feb.xls,2021-02-01,GENERALI CENTRAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,35.97,249.47,41.24,317.56,-21.44,5225,43035,6879,58927,-26.97,21feb.xls,2021-02-01,GENERALI CENTRAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,12.05,59.0,9.65,68.54,-13.93,0,5,0,3,66.67,21feb.xls,2021-02-01,GENERALI CENTRAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,21feb.xls,2021-02-01,GENERALI CENTRAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,23.32,72.46,3.05,305.76,-76.3,2,25,3,42,-40.48,21feb.xls,2021-02-01,GENERALI CENTRAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,71.61,383.57,54.2,696.67,-44.94,5245,43195,6909,59274,-27.13,21feb.xls,2021-02-01,GENERALI CENTRAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,270.94,3042.83,305.14,2593.96,17.3,3574,35856,3601,35657,0.56,21feb.xls,2021-02-01,HDFC LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,591.85,5634.63,502.73,5101.3,10.45,79224,809015,80048,769195,5.18,21feb.xls,2021-02-01,HDFC LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,988.3,8361.49,733.34,7245.61,15.4,17,151,231,383,-60.57,21feb.xls,2021-02-01,HDFC LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,21feb.xls,2021-02-01,HDFC LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,44.85,212.23,39.2,395.12,-46.29,9,75,10,219,-65.75,21feb.xls,2021-02-01,HDFC LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,1895.94,17251.18,1580.41,15336.0,12.49,82824,845097,83890,805454,4.92,21feb.xls,2021-02-01,HDFC LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,437.05,2231.72,172.74,1229.79,81.47,3911,23903,1943,16582,44.15,21feb.xls,2021-02-01,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,580.9,4283.3,570.05,6041.68,-29.1,61742,542441,71747,687984,-21.15,21feb.xls,2021-02-01,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,287.91,1853.05,228.63,1915.12,-3.24,2,71,21,141,-49.65,21feb.xls,2021-02-01,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,0.02,0.02,0.0,0.0,0.0,1,1,0,0,0.0,21feb.xls,2021-02-01,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,Private,1,1
Group Yearly Renewable Premium,431.15,2506.99,1172.46,2178.17,15.1,256,2516,114,1425,76.56,21feb.xls,2021-02-01,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,1737.03,10875.07,2143.88,11364.77,-4.31,65912,568932,73825,706132,-19.43,21feb.xls,2021-02-01,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,3.79,29.04,1.61,18.64,55.84,133,1197,-51,15709,-92.38,21feb.xls,2021-02-01,INDIAFIRST LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,116.68,717.58,110.85,734.64,-2.32,24237,167402,19162,152759,9.59,21feb.xls,2021-02-01,INDIAFIRST LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,64.99,951.73,37.17,849.56,12.03,18,176,14,149,18.12,21feb.xls,2021-02-01,INDIAFIRST LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,0.04,0.45,0.06,0.45,0.87,0,3,1,5,-40.0,21feb.xls,2021-02-01,INDIAFIRST LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,21feb.xls,2021-02-01,INDIAFIRST LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,185.5,1698.81,149.69,1603.29,5.96,24388,168778,19126,168622,0.09,21feb.xls,2021-02-01,INDIAFIRST LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,4.21,46.88,6.68,46.35,1.14,144,1379,189,1398,-1.36,21feb.xls,2021-02-01,INDUSIND NIPPON LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,87.04,748.78,81.02,786.87,-4.84,17100,164077,17547,182821,-10.25,21feb.xls,2021-02-01,INDUSIND NIPPON LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,0.0,0.0,0.0,0.72,-100.0,0,0,0,0,0.0,21feb.xls,2021-02-01,INDUSIND NIPPON LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,10.3,106.32,8.16,48.37,119.79,4,28,1,14,100.0,21feb.xls,2021-02-01,INDUSIND NIPPON LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,0.84,9.9,0.24,13.97,-29.11,7,52,2,35,48.57,21feb.xls,2021-02-01,INDUSIND NIPPON LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,102.39,911.89,96.11,896.28,1.74,17255,165536,17739,184268,-10.17,21feb.xls,2021-02-01,INDUSIND NIPPON LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,177.44,951.71,93.73,652.41,45.88,3770,35165,4878,42915,-18.06,21feb.xls,2021-02-01,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,204.08,1288.54,162.82,1312.71,-1.84,30000,238816,26116,232477,2.73,21feb.xls,2021-02-01,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,146.18,812.74,111.12,1050.67,-22.65,20,181,12,220,-17.73,21feb.xls,2021-02-01,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,0.04,0.53,0.24,4.07,-87.03,2,16,0,25,-36.0,21feb.xls,2021-02-01,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,112.53,928.37,104.53,1341.27,-30.78,50,583,24,440,32.5,21feb.xls,2021-02-01,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,640.26,3981.89,472.44,4361.13,-8.7,33842,274761,31030,276077,-0.48,21feb.xls,2021-02-01,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,12.03,89.57,1.5,14.53,516.58,202,1341,28,448,199.33,21feb.xls,2021-02-01,PNB METLIFE LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,142.0,1140.19,128.13,1165.55,-2.18,22315,207996,18144,175328,18.63,21feb.xls,2021-02-01,PNB METLIFE LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,56.21,307.29,42.86,359.09,-14.43,0,1,0,7,-85.71,21feb.xls,2021-02-01,PNB METLIFE LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,0.06,0.62,0.03,0.59,4.64,13,152,16,163,-6.75,21feb.xls,2021-02-01,PNB METLIFE LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,13.02,60.14,2.45,49.23,22.16,0,0,0,0,0.0,21feb.xls,2021-02-01,PNB METLIFE LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,223.31,1597.8,174.98,1588.98,0.55,22530,209490,18188,175946,19.06,21feb.xls,2021-02-01,PNB METLIFE LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,0.08,1.77,0.46,7.95,-77.72,3,2022,8,332,509.04,21feb.xls,2021-02-01,PRAMERICA LIFE INSURANCE LIMITED.,Private,0,0
Individual Non Single Premium,8.5,101.19,11.83,144.78,-30.11,2903,24261,3723,36965,-34.37,21feb.xls,2021-02-01,PRAMERICA LIFE INSURANCE LIMITED.,Private,0,0
Group Single Premium,13.36,75.31,18.91,267.24,-71.82,0,11,3,54,-79.63,21feb.xls,2021-02-01,PRAMERICA LIFE INSURANCE LIMITED.,Private,0,0
Group Non Single Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,21feb.xls,2021-02-01,PRAMERICA LIFE INSURANCE LIMITED.,Private,0,0
Group Yearly Renewable Premium,1.23,23.6,2.97,73.15,-67.74,11,186,20,454,-59.03,21feb.xls,2021-02-01,PRAMERICA LIFE INSURANCE LIMITED.,Private,0,0
Total,23.18,201.87,34.16,493.13,-59.06,2917,26480,3754,37805,-29.96,21feb.xls,2021-02-01,PRAMERICA LIFE INSURANCE LIMITED.,Private,0,0
Individual Single Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,21feb.xls,2021-02-01,SAHARA INDIA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,21feb.xls,2021-02-01,SAHARA INDIA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,21feb.xls,2021-02-01,SAHARA INDIA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,21feb.xls,2021-02-01,SAHARA INDIA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,21feb.xls,2021-02-01,SAHARA INDIA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,21feb.xls,2021-02-01,SAHARA INDIA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,265.31,2212.34,121.35,1499.95,47.49,5237,42048,2847,29941,40.44,21feb.xls,2021-02-01,SBI LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,919.98,8500.48,605.01,8935.66,-4.87,145974,1380449,112149,1399601,-1.37,21feb.xls,2021-02-01,SBI LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,548.43,7033.75,335.2,4828.35,45.68,18,149,3,80,86.25,21feb.xls,2021-02-01,SBI LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,0.51,14.34,5.04,16.89,-15.1,0,2,0,0,0.0,21feb.xls,2021-02-01,SBI LIFE INSURANCE COMPANY LIMITED,Private,0,1
Group Yearly Renewable Premium,16.5,303.4,15.23,183.49,65.35,10,302,15,560,-46.07,21feb.xls,2021-02-01,SBI LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,1750.73,18064.31,1081.83,15464.34,16.81,151239,1422950,115014,1430182,-0.51,21feb.xls,2021-02-01,SBI LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,4.33,46.91,3.44,34.18,37.23,141,1330,136,1787,-25.57,21feb.xls,2021-02-01,SHRIRAM LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,42.71,400.87,41.3,396.36,1.14,27178,233937,26534,236867,-1.24,21feb.xls,2021-02-01,SHRIRAM LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,37.79,153.36,19.13,177.64,-13.66,0,3,0,5,-40.0,21feb.xls,2021-02-01,SHRIRAM LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,21feb.xls,2021-02-01,SHRIRAM LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,15.07,100.36,0.63,12.6,696.23,20,118,0,12,883.33,21feb.xls,2021-02-01,SHRIRAM LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,99.89,701.51,64.5,620.79,13.0,27339,235388,26670,238671,-1.38,21feb.xls,2021-02-01,SHRIRAM LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,21.69,178.82,13.6,88.63,101.75,438,3309,234,1860,77.9,21feb.xls,2021-02-01,STAR UNION DAI-ICHI LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,82.41,559.81,58.39,493.75,13.38,12206,81807,7467,69192,18.23,21feb.xls,2021-02-01,STAR UNION DAI-ICHI LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,22.87,131.98,11.95,78.73,67.62,0,2,0,0,0.0,21feb.xls,2021-02-01,STAR UNION DAI-ICHI LIFE INSURANCE COMPANY LIMITED,Private,0,1
Group Non Single Premium,0.02,1.04,0.17,1.6,-35.15,0,0,0,0,0.0,21feb.xls,2021-02-01,STAR UNION DAI-ICHI LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,14.49,107.19,3.61,33.57,219.3,2,16,0,13,23.08,21feb.xls,2021-02-01,STAR UNION DAI-ICHI LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,141.48,978.84,87.72,696.29,40.58,12646,85134,7701,71065,19.8,21feb.xls,2021-02-01,STAR UNION DAI-ICHI LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,28.83,544.89,39.53,402.26,35.46,266,3451,282,2537,36.03,21feb.xls,2021-02-01,TATA AIA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,311.9,2650.41,300.17,2321.77,14.15,41280,375885,58384,427122,-12.0,21feb.xls,2021-02-01,TATA AIA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,4.75,25.49,3.34,36.99,-31.09,0,1,0,0,0.0,21feb.xls,2021-02-01,TATA AIA LIFE INSURANCE COMPANY LIMITED,Private,0,1
Group Non Single Premium,3.12,48.54,9.92,71.69,-32.29,1,44,-3,62,-29.03,21feb.xls,2021-02-01,TATA AIA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,5.52,83.57,4.23,24.1,246.78,35,269,32,172,56.4,21feb.xls,2021-02-01,TATA AIA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,354.12,3352.9,357.18,2856.8,17.37,41582,379650,58695,429893,-11.69,21feb.xls,2021-02-01,TATA AIA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,1435.62,11593.61,924.88,8103.8,43.06,21666,176194,18575,187625,-6.09,21feb.xls,2021-02-01,PRIVATE,Private,0,0
Individual Non Single Premium,4437.01,36097.47,3632.26,37034.3,-2.53,643431,5883958,613890,6095860,-3.48,21feb.xls,2021-02-01,PRIVATE,Private,0,0
Group Single Premium,2896.11,25858.53,2127.43,22027.22,17.39,89,904,305,1314,-31.2,21feb.xls,2021-02-01,PRIVATE,Private,0,0
